epoch,epoch_loss,split,loss,acc,sample_fn
0,1.8180975,train,1.017445,0.6852050499216107,gumbel_soft
0,1.8180975,val,1.0257561,0.6806930693069307,gumbel_soft
0,1.8180975,test,1.0283194,0.6942774437764417,gumbel_soft
1,0.8810269,train,0.8007258,0.690871083972825,gumbel_soft
1,0.8810269,val,0.80845726,0.6856435643564357,gumbel_soft
1,0.8810269,test,0.8112196,0.6862614117123135,gumbel_soft
2,0.7695849,train,0.7469713,0.6922188299364634,gumbel_soft
2,0.7695849,val,0.75631243,0.697029702970297,gumbel_soft
2,0.7695849,test,0.75500107,0.691828100645736,gumbel_soft
3,0.73147666,train,0.71227354,0.7059438347498418,gumbel_soft
3,0.73147666,val,0.7231926,0.7007425742574257,gumbel_soft
3,0.73147666,test,0.71929294,0.7058561567579603,gumbel_soft
4,0.70359707,train,0.6828025,0.7117748989190528,gumbel_soft
4,0.70359707,val,0.68533224,0.7141089108910891,gumbel_soft
4,0.70359707,test,0.6902604,0.7147628590514362,gumbel_soft
5,0.67548054,train,0.66573834,0.7134252000990181,gumbel_soft
5,0.67548054,val,0.66502386,0.726980198019802,gumbel_soft
5,0.67548054,test,0.67403436,0.7051881540859497,gumbel_soft
6,0.6618305,train,0.65643597,0.7149104711609868,gumbel_soft
6,0.6618305,val,0.65434164,0.719059405940594,gumbel_soft
6,0.6618305,test,0.6627817,0.7225562235582276,gumbel_soft
7,0.6643521,train,0.6552373,0.7191462441895646,gumbel_soft
7,0.6643521,val,0.6545565,0.7173267326732673,gumbel_soft
7,0.6643521,test,0.6601797,0.7149855266087731,gumbel_soft
8,0.6551269,train,0.6475335,0.7077316610281377,gumbel_soft
8,0.6551269,val,0.6483303,0.7163366336633663,gumbel_soft
8,0.6551269,test,0.6578626,0.7060788243152972,gumbel_soft
9,0.6433836,train,0.6425982,0.7124350193910388,gumbel_soft
9,0.6433836,val,0.6436081,0.7143564356435643,gumbel_soft
9,0.6433836,test,0.6475372,0.7114228456913828,gumbel_soft
10,0.63891566,train,0.6377278,0.7039909783535495,gumbel_soft
10,0.63891566,val,0.6356766,0.7254950495049505,gumbel_soft
10,0.63891566,test,0.64595926,0.70875083500334,gumbel_soft
11,0.6355841,train,0.62694967,0.7137827653546772,gumbel_soft
11,0.6355841,val,0.6277484,0.7160891089108911,gumbel_soft
11,0.6355841,test,0.63740015,0.7169895346248052,gumbel_soft
12,0.63054997,train,0.62362784,0.7162307121049591,gumbel_soft
12,0.63054997,val,0.63820195,0.7054455445544554,gumbel_soft
12,0.63054997,test,0.6285997,0.7187708750835003,gumbel_soft
13,0.62418413,train,0.6242381,0.7158731468493,gumbel_soft
13,0.62418413,val,0.62942356,0.722029702970297,gumbel_soft
13,0.62418413,test,0.6301692,0.71520819416611,gumbel_soft
14,0.62388635,train,0.6220964,0.7156531066919712,gumbel_soft
14,0.62388635,val,0.6247736,0.7153465346534653,gumbel_soft
14,0.62388635,test,0.6289072,0.704520151413939,gumbel_soft
15,0.6197336,train,0.6147879,0.7225018565888275,gumbel_soft
15,0.6197336,val,0.6244957,0.7153465346534653,gumbel_soft
